Currency,Units per USD
USD,1.0
EUR,0.916506503291418
GBP,0.7884622815235284
INR,82.0637428321242
AUD,1.5006516581947396
CAD,1.3243900544568898
SGD,1.3523167832857772
CHF,0.8955240182130589
MYR,4.6664285545455195
JPY,144.3051027400145
CNY,7.251764254377527
NZD,1.6292817400826738
THB,35.28540247284717
HUF,341.55157348182115
AED,3.6725
HKD,7.836438036721905
MXN,17.11915284393345
ZAR,18.843015795459785
PHP,55.276585694061126
SEK,10.788162998504236
IDR,14995.689712730367
BRL,4.788810812281653
SAR,3.75
TRY,26.02183475196032
KES,140.62858574475405
KRW,1316.0613048951209
EGP,30.901157042706934
IQD,1310.3080041256485
NOK,10.762532812031637
KWD,0.3084015098136391
RUB,88.82560571633265
DKK,6.822645473565803
PKR,286.2835418926807
ILS,3.7107888932033872
PLN,4.06255692291164
QAR,3.64
XAU,0.0005209929438659
OMR,0.385000080290964
COP,4183.2401383769575
CLP,801.8272482074735
TWD,31.193215158090176
ARS,256.58601339492384
CZK,21.773727283877033
VND,23578.901904981903
MAD,9.899901574578791
JOD,0.709
BHD,0.376
XOF,601.1888563795287
LKR,308.0363678761006
UAH,36.68523558524731
NGN,760.3631139855199
TND,3.089489552816781
UGX,3667.070449548828
RON,4.543299679484982
BDT,108.57554489493882
PEN,3.611412346493109
GEL,2.613100239135969
XAF,601.1888563795287
FJD,2.259521131424854
VEF,2779273.242030005
VES,27.792732420300048
BYN,2.5250000905643883
UZS,11534.999985997743
BGN,1.7925309143324544
DZD,136.65232200690093
IRR,42002.75975085255
DOP,54.7405782109325
ISK,136.17960924049794
CRC,548.0815373603064
XAG,0.0439324832847607
SYP,2512.031395135243
JMD,152.32739967791832
LYD,4.80706327112478
GHS,10.982934508905789
MUR,45.54985131439574
AOA,822.9945396207872
UYU,37.56440302753267
AFN,86.04481792081486
LBP,14967.68647204032
XPF,109.36831781480474
TTD,6.79535458231973
TZS,2412.5244485042945
ALL,97.3738808922914
XCD,2.700055620039946
GTQ,7.846912225698716
NPR,131.3635363385228
BOB,6.925077138757053
ZWD,361.9
BBD,2.0
CUC,1.0
LAK,18801.433061877397
BND,1.3523167832857772
BWP,13.476832697645502
HNL,24.61474075554799
PYG,7294.398709965743
ETB,54.600028015262914
NAD,18.843015795459785
PGK,3.520098885548755
SDG,599.9480435139633
MOP,8.071531177823562
BMD,1.0
NIO,36.575053080333994
BAM,1.7925309143324544
KZT,450.2916104512954
PAB,1.0
GYD,211.9891354865085
YER,250.2077428233912
MGA,4527.4432811253755
KYD,0.8200051438089837
MZN,63.72601825972923
RSD,107.468000322815
SCR,13.96309716374615
AMD,386.71572036083984
AZN,1.7052462516903872
SBD,8.36836886390431
SLL,18940.055134852697
TOP,2.3419101611879416
BZD,2.0151973217708985
GMD,59.54906993423201
MWK,1050.4607888792566
BIF,2818.676614158855
HTG,138.4824957724938
SOS,568.5024314897905
GNF,8543.55745743186
MNT,3436.1413317457063
MVR,15.456586025420162
CDF,2354.0000093400217
STN,22.500019280947456
TJS,10.92966560517239
KPW,899.9999999987235
KGS,87.20150216222338
LRD,177.9697566493553
LSL,18.843015795459785
MMK,2095.770141819639
GIP,0.7884622815235284
XPT,0.0011075173820857
MDL,18.280141010354136
CUP,23.916324787559944
KHR,4129.6168346217455
MKD,56.25648454749438
VUV,118.92010134278324
ANG,1.7873045275893578
MRU,34.62977013168014
SZL,18.843015795459785
CVE,101.06317211794467
SRD,37.949973523380585
SVC,8.75
XPD,0.000810858787234
BSD,1.0
XDR,0.7516988385080574
RWF,1161.4862303903017
AWG,1.79
BTN,82.0637428321242
DJF,178.0563417911524
KMF,450.8916422846466
ERN,15.0
FKP,0.7884622815235284
SHP,0.7884622815235284
SPL,0.166666666
WST,2.6831116567448827
JEP,0.7884622815235284
TMT,3.500080272822871
GGP,0.7884622815235284
IMP,0.7884622815235284
TVD,1.5006516581947396
ZMW,17.69936774608868
ADA,3.4659605126976514
BCH,0.003440028983792
BTC,3.27141482413e-05
DOGE,14.74046723446043
DOT,0.1891021489859977
ETH,0.0005199320912699
LINK,0.1577966426381749
LTC,0.0094869583658493
LUNA,1.3522486752095857
SLE,18.940055134852695
UNI,0.1834378549087068
XLM,9.305654940170674
XRP,2.119739393063777
ZWL,5738.528023131823
HRK,6.96378830084
SSP,130.26
